# FrameVar file generated by StimulateOpenGL II v.20120902 (0x20120902)
"frameNum" "objNum" "subFrameNum" "objType(0=box,1=ellipse,2=sphere)" "x" "y" "r1" "r2" "phi" "color" "z" "zScaled"
0 0 0 2 636.911 335.74 80 80 0 1 47.832465 1.05869014
0 0 1 2 633.822 331.48 80 80 0 1 45.6649301 1.05603059
0 0 2 2 630.733 327.22 80 80 0 1 43.4973951 1.05337104
0 1 0 2 644.48 341.206 80 80 0 1 48.2725167 1.05923008
0 1 1 2 648.959 342.413 80 80 0 1 46.5450334 1.05711047
0 1 2 2 653.439 343.619 80 80 0 1 44.8175501 1.05499086
0 2 0 2 640.376 339.33 80 80 0 1 51.2667813 1.06290403
0 2 1 2 640.752 338.661 80 80 0 1 52.5335627 1.06445836
0 2 2 2 641.129 337.991 80 80 0 1 53.800344 1.06601269
0 3 0 2 645.588 337.794 80 80 0 1 49.4437754 1.06066721
0 3 1 2 651.175 335.587 80 80 0 1 48.8875509 1.05998472
0 3 2 2 656.763 333.381 80 80 0 1 48.3313263 1.05930224
0 4 0 2 639.068 340.16 80 80 0 1 52.3208958 1.06419742
0 4 1 2 638.135 340.32 80 80 0 1 54.6417917 1.06704514
0 4 2 2 637.203 340.481 80 80 0 1 56.9626875 1.06989287
0 5 0 2 642.592 338.882 80 80 0 1 47.7365081 1.0585724
0 5 1 2 645.185 337.763 80 80 0 1 45.4730163 1.05579511
0 5 2 2 647.777 336.645 80 80 0 1 43.2095244 1.05301782
0 6 0 2 634.985 339.069 80 80 0 1 47.3347159 1.05807941
0 6 1 2 629.97 338.139 80 80 0 1 44.6694318 1.05480912
0 6 2 2 624.955 337.208 80 80 0 1 42.0041477 1.05153883
0 7 0 2 641.14 344.596 80 80 0 1 48.1724485 1.0591073
0 7 1 2 642.28 349.191 80 80 0 1 46.344897 1.0568649
0 7 2 2 643.419 353.787 80 80 0 1 44.5173455 1.05462251
0 8 0 2 636.684 334.823 80 80 0 1 47.6074802 1.05841409
0 8 1 2 633.368 329.645 80 80 0 1 45.2149605 1.05547848
0 8 2 2 630.052 324.468 80 80 0 1 42.8224407 1.05254287
0 9 0 2 641.841 339.147 80 80 0 1 50.2621275 1.06167132
0 9 1 2 643.681 338.294 80 80 0 1 50.524255 1.06199295
0 9 2 2 645.522 337.44 80 80 0 1 50.7863825 1.06231458
0 10 0 2 643.153 336.751 80 80 0 1 48.8963614 1.05999554
0 10 1 2 646.307 333.501 80 80 0 1 47.7927227 1.05864138
0 10 2 2 649.46 330.252 80 80 0 1 46.6890841 1.05728722
0 11 0 2 634.291 345.194 80 80 0 1 48.111243 1.0590322
0 11 1 2 628.581 350.388 80 80 0 1 46.222486 1.05671471
0 11 2 2 622.872 355.582 80 80 0 1 44.333729 1.05439721
0 12 0 2 643.322 340.685 80 80 0 1 51.32261 1.06297253
0 12 1 2 646.644 341.37 80 80 0 1 52.6452201 1.06459536
0 12 2 2 649.967 342.055 80 80 0 1 53.9678301 1.0662182
0 13 0 2 638.214 339.165 80 80 0 1 49.893863 1.06121946
0 13 1 2 636.427 338.331 80 80 0 1 49.787726 1.06108923
0 13 2 2 634.641 337.496 80 80 0 1 49.6815889 1.060959
0 14 0 2 636.31 342.692 80 80 0 1 47.613733 1.05842176
0 14 1 2 632.621 345.384 80 80 0 1 45.227466 1.05549382
0 14 2 2 628.931 348.076 80 80 0 1 42.8411991 1.05256589
1 0 0 2 627.644 322.96 80 80 0 1 41.3298601 1.05071148
1 0 1 2 624.555 318.7 80 80 0 1 39.1623252 1.04805193
1 0 2 2 621.466 314.441 80 80 0 1 36.9947902 1.04539238
1 1 0 2 657.919 344.826 80 80 0 1 43.0900668 1.05287125
1 1 1 2 662.398 346.032 80 80 0 1 41.3625835 1.05075164
1 1 2 2 666.878 347.239 80 80 0 1 39.6351002 1.04863202
1 2 0 2 641.505 337.322 80 80 0 1 55.0671253 1.06756702
1 2 1 2 641.881 336.652 80 80 0 1 56.3339066 1.06912136
1 2 2 2 642.257 335.983 80 80 0 1 57.600688 1.07067569
1 3 0 2 662.35 331.175 80 80 0 1 47.7751017 1.05861976
1 3 1 2 667.938 328.969 80 80 0 1 47.2188772 1.05793727
1 3 2 2 673.525 326.762 80 80 0 1 46.6626526 1.05725479
1 4 0 2 636.27 340.641 80 80 0 1 59.2835833 1.07274059
1 4 1 2 635.338 340.801 80 80 0 1 61.6044791 1.07558832
1 4 2 2 634.405 340.961 80 80 0 1 63.925375 1.07843604
1 5 0 2 650.37 335.527 80 80 0 1 40.9460326 1.05024053
1 5 1 2 652.962 334.408 80 80 0 1 38.6825407 1.04746324
1 5 2 2 655.555 333.29 80 80 0 1 36.4190489 1.04468595
1 6 0 2 619.94 336.277 80 80 0 1 39.3388635 1.04826854
1 6 1 2 614.924 335.347 80 80 0 1 36.6735794 1.04499826
1 6 2 2 609.909 334.416 80 80 0 1 34.0082953 1.04172797
1 7 0 2 644.559 358.383 80 80 0 1 42.689794 1.05238012
1 7 1 2 645.699 362.979 80 80 0 1 40.8622425 1.05013772
1 7 2 2 646.839 367.574 80 80 0 1 39.034691 1.04789533
1 8 0 2 626.736 319.29 80 80 0 1 40.4299209 1.04960726
1 8 1 2 623.42 314.113 80 80 0 1 38.0374012 1.04667166
1 8 2 2 620.104 308.936 80 80 0 1 35.6448814 1.04373605
1 9 0 2 647.362 336.587 80 80 0 1 51.04851 1.06263621
1 9 1 2 649.203 335.734 80 80 0 1 51.3106375 1.06295784
1 9 2 2 651.044 334.881 80 80 0 1 51.5727649 1.06327947
1 10 0 2 652.614 327.002 80 80 0 1 45.5854454 1.05593306
1 10 1 2 655.767 323.753 80 80 0 1 44.4818068 1.0545789
1 10 2 2 658.921 320.503 80 80 0 1 43.3781681 1.05322475
1 11 0 2 617.162 360.776 80 80 0 1 42.444972 1.05207972
1 11 1 2 611.453 365.97 80 80 0 1 40.556215 1.04976223
1 11 2 2 605.743 371.164 80 80 0 1 38.667458 1.04744473
1 12 0 2 653.289 342.739 80 80 0 1 55.2904401 1.06784103
1 12 1 2 656.611 343.424 80 80 0 1 56.6130502 1.06946387
1 12 2 2 659.933 344.109 80 80 0 1 57.9356602 1.0710867
1 13 0 2 632.854 336.661 80 80 0 1 49.5754519 1.06082878
1 13 1 2 631.068 335.827 80 80 0 1 49.4693149 1.06069855
1 13 2 2 629.281 334.992 80 80 0 1 49.3631779 1.06056832
1 14 0 2 625.241 350.769 80 80 0 1 40.4549321 1.04963795
1 14 1 2 621.551 353.461 80 80 0 1 38.0686651 1.04671002
1 14 2 2 617.862 356.153 80 80 0 1 35.6823981 1.04378208
2 0 0 2 618.377 310.181 80 80 0 1 34.8272552 1.04273283
2 0 1 2 615.288 305.921 80 80 0 1 32.6597203 1.04007328
2 0 2 2 612.199 301.661 80 80 0 1 30.4921853 1.03741372
2 1 0 2 671.357 348.445 80 80 0 1 37.9076169 1.04651241
2 1 1 2 675.837 349.651 80 80 0 1 36.1801336 1.0443928
2 1 2 2 680.317 350.858 80 80 0 1 34.4526503 1.04227319
2 2 0 2 642.634 335.313 80 80 0 1 58.8674693 1.07223002
2 2 1 2 643.01 334.643 80 80 0 1 60.1342506 1.07378436
2 2 2 2 643.386 333.974 80 80 0 1 61.4010319 1.07533869
2 3 0 2 679.113 324.556 80 80 0 1 46.1064281 1.0565723
2 3 1 2 684.7 322.35 80 80 0 1 45.5502035 1.05588982
2 3 2 2 690.288 320.143 80 80 0 1 44.9939789 1.05520734
2 4 0 2 633.473 341.121 80 80 0 1 66.2462708 1.08128377
2 4 1 2 632.54 341.282 80 80 0 1 68.5671666 1.08413149
2 4 2 2 631.608 341.442 80 80 0 1 70.8880625 1.08697922
2 5 0 2 658.147 332.171 80 80 0 1 34.155557 1.04190866
2 5 1 2 660.739 331.053 80 80 0 1 31.8920652 1.03913137
2 5 2 2 663.332 329.935 80 80 0 1 29.6285733 1.03635408
